5000 	  0.0247754
10000 	  0.096502
15000 	  0.216596
20000 	  0.39421
25000 	  0.608742
30000 	  0.86785
35000 	  1.19753
40000 	  1.54282
45000 	  1.98436
50000 	  2.51476
55000 	  3.35318
60000 	  3.96248
65000 	  4.19091
70000 	  4.81067
75000 	  5.55205
80000 	  6.13531
85000 	  6.92302
90000 	  7.81883
95000 	  10.9967
100000 	  12.0232
105000 	  11.8855
110000 	  12.7667
115000 	  14.8504
120000 	  15.0451
125000 	  16.0888
5000 	  0.0251164
10000 	  0.0959284
15000 	  0.217334
20000 	  0.439326
25000 	  0.613499
30000 	  0.872964
35000 	  1.17234
40000 	  1.5348
45000 	  1.94607
50000 	  2.42163
55000 	  2.9175
60000 	  3.43982
65000 	  4.06045
70000 	  4.82625
75000 	  5.40205
